,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese,
,,en,ar,zh-CN,zh-TW,nl,fil,fi,fr,de,hi,id,it,ko,ja,ms,no,pl,pt,pt,ru,es,sv,th,tr,vi,
1,Little Star,Twinkle Twinkle Little Star,بريق بريق يا نجمة الصغيرة,一闪一闪小星星,一閃一閃小星星,"Twinkel, Twinkel, Kleine Ster","Kintab, Kintab, Maliit Na Bituin","Tuikkele, Tuikkele, Pieni TäHti","Brille, Brille, Petite Étoile","Funkel, Funkel, Kleiner Stern","चमको, चमको, छोटे तारे","Bersinar, Bersinar, Bintang Kecil","Brilla, Brilla, Stellina",반짝반짝 작은별,きらきら ひかる、小さな星,"Bersinar, Bersinar, Bintang Kecil","Blink, Blink, Lille Stjerne","BłYszcz, BłYszcz, MałA Gwiazdko","Brilha, Brilha, Estrelinha","Brilha, Brilha, Estrelinha","Мерцай, мерцай, маленькая звезда","Brilla, Brilla, Estrellita","Gnistra, Gnistra, Lilla StjäRna",ส่องส่อง ดาวเล็กน้อย,"ParıLdayıN, ParıLdayıN, KüçüK YıLdıZ","LấP LáNh, LấP LáNh, NgôI Sao Nhỏ",
2,Jingle Bells,Jingle Bells,أجراس الميلاد,铃儿响叮当,鈴兒響叮噹,Jingle Bells,Jingle Bells,Kulkuset,Vive Le Vent,Jingle Bells,गीत की घंटी,Jingle Bells,Campanellini,징글벨,ジングルベル,Jingle Bells,Bjelleklang,Dzwonią Dzwonki,Os Sinos De Tinir,Os Sinos De Tinir,Джингл Белз,Timbre,BjäLler Klang,ระฆังกริ๊ง,Jingle Bells,Rung ChuôNg,
3,Canon,Canon,كاهن,卡农,卡農,Canon,Canon,Kaanoni,Canon,Canon,कैनन,Canon,Canone,카논,カノン,Kanon,Kanon,Kanon,CâNone,CâNone,Канон,Canon,Kanon,หลักการ,Kanon,Canon,
4,Two Tigers,Frère Jacques,الأخ جون,两只老虎,兩隻老虎,Vader Jacob,FrèRe Jacques,FrèRe Jacques,Frère Jacques,Bruder Jakob,Frère Jacques,FrèRe Jacques,Fra' Martino,프레르 자크,フレール・ジャック,FrèRe Jacques,Fader Jakob,Panie Janie,Frei JoãO,Frei JoãO,Братец Жак,Fray Santiago,Broder Jakob,บราเธอร์จอห์น,Kardeş Jakob,FrèRe Jacques,
5,Happy New Year,"Oh My Darling, Clementine",سنة جديدة سعيدة,新年快乐,新年快樂,Gelukkig Nieuwjaar,"Oh My Darling, Clementine","Oh My Darling, Clementine",Bonne Année,Happy New Year,"Oh my darling, Clementine",Selamat Tahun Baru,Buon Anno,해피 뉴 이어,ハッピー・ニュー・イヤー,"Oh My Darling, Clementine",Godt Nytt åR,SzczęśLiwego Nowego Roku,Feliz Ano Novo,Feliz Ano Novo,С новым годом,Feliz Año Nuevo,Gott Nytt åR,สวัสดีปีใหม่,Mutlu YıLlar,"Ah CanıM, Clementine",
6,Beyer No.8,Beyer No.8,باير No.8,拜厄练习曲No.8,拜厄練習曲No.8,Beyer Nr. 8,Beyer No.8,Beyer Nro 8,Beyer No.8,Beyer Nr.8,बेयर नंबर 8,Beyer No.8,Beyer N. 8,Beyer No. 8,ねこふんじゃった,Beyer No.8,Beyer No.8,Beyer Nr 8,Beyer No.8,Beyer No.8,Байер №8,Beyer No.8,Beyer Nr 8,เบเยอร์หมายเลข 8,Beyer No.8,Beyer Số 8,
7,Bluestone Alley,Bluestone Alley,زقاق أزرق,青石巷,青石巷,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,ब्लूस्टोन गली,Alley Bluestone,Bluestone Alley,유리성,ブルーストーン・アレイ,Bluestone Alley,Bluestone Alley,Bluestone Alley,Alley Bluestone,Alley Bluestone,Цин Ши Сян,Callejón Azul,BlåStensgräNd,บลูสโตนซอย,Mavi Taş Sokağı,HẻM Đá Xanh,
8,Jasmine,Jasmine,الياسمين,茉莉花,茉莉花,Jasmijn,Jasmine,Jasmiini,Jasmin,Jasmine,चमेली,Melati,Gelsomino,모리화,ジャスミン,Jasmine,Jasmine,JaśMin,Jasmim,Jasmim,Жасмин,Jazmín,Jasmin,ดอกมะลิ,Yasemin,Jasmine,
9,Dolls and Bear Dancing,Dolls and Bear Dancing,الدمى والدب الراقص,洋娃娃和小熊跳舞,洋娃娃和小熊跳舞,Poppen En Berendansen,Dolls And Bear Dancing,Nukke Ja Karhun Tanssi,Poupées Et Bourse D'Ours,Doll and Bear Dancing,गुड़िया और भालू नृत्य,Boneka Dan Menari,Bambole E Balli Di Orso,곰과 인형의 춤,はたけのポルカ,Anak Patung Dan Menari Menari,Dukker Og BjøRnedans,Lalki I Taniec NiedźWiedzi,Bonecas E DançA De Urso,Bonecas E DançA De Urso,Польские песни,Muñecas y Bailes de Oso,Dockor Och BjöRndans,ตุ๊กตาและหมีเต้น,Bebekler Ve Ayı Dansı,BúP Bê Và GấU NhảY MúA,
