Id,Mid,BPM,BaseBeat,Ratio,MusicJson,Musician,Acceleration,AniID,BridgeAniID
音乐ID[int],,,基础音符,歌曲速度,音乐JSON文件[string],音乐家,竞技场加速度,特效索引,过渡特效索引
101,100001,85,0.5,170,Little Star,English Folk Music,,1024001,2048001
102,100001,90,0.5,180,Little Star,,,1024002,2048002
103,100001,94,0.5,188,Little Star,,,1024008,
201,100002,105,0.5,210,Jingle Bells,James Lord Pierpont,,,
202,100002,110,0.5,220,Jingle Bells,,,,
203,100002,115,0.5,230,Jingle Bells,,,,
301,100003,63,0.25,252,Canon,Johann Pachelbel,,,
302,100003,63,0.25,252,Canon,,,,
303,100003,64,0.25,256,Canon,,,,
401,100004,125,0.5,250,Two Tigers,French Folk Music,,1024001,2048001
402,100004,130,0.5,260,Two Tigers,,,1024002,2048002
403,100004,135,0.5,270,Two Tigers,,,1024010,
601,100005,125,0.5,250,Happy New Year,English Folk Music,,,
602,100005,130,0.5,260,Happy New Year,,,,
603,100005,135,0.5,270,Happy New Year,,,,
701,100006,110,0.5,220,Beyer No.8,Ferdinand Beyer,,,
702,100006,115,0.5,230,Beyer No.8,,,,
703,100006,120,0.5,240,Beyer No.8,,,,
801,100007,110,0.5,220,Bluestone Alley,Congfei Wei,,,
802,100007,118,0.5,236,Bluestone Alley,,,,
803,100007,125,0.5,250,Bluestone Alley,,,,
901,100409,190,1,190,Warblings At Eve,Brinley Richards,,,
902,100409,194,1,194,Warblings At Eve,,,,
903,100409,198,1,198,Warblings At Eve,,,,
1001,100008,120,0.5,240,Jasmine,Chinese Folk Music,,,
1002,100008,65,0.25,260,Jasmine,,,,
1003,100008,70,0.25,280,Jasmine,,,,
1101,100009,115,0.5,230,Dolls and Bear Dancing,Polish Folk Music,,,
1102,100009,60,0.25,240,Dolls and Bear Dancing,,,,
1103,100009,125,0.5,250,Dolls and Bear Dancing,,,,
1201,100010,125,0.5,250,Happy Birthday to You,American Folk Music,,1024001,2048001
1202,100010,68,0.25,272,Happy Birthday to You,,,1024002,2048002
1203,100010,73,0.25,292,Happy Birthday to You,,,1024010,
1401,100011,115,0.5,230,Heidenroslein,Franz Schubert,,,
1402,100011,128,0.5,256,Heidenroslein,,,,
1403,100011,140,0.5,280,Heidenroslein,,,,
1501,100012,120,0.5,240,The Painter,Polish Folk Music,,1024001,2048001
1502,100012,139,0.5,278,The Painter,,,1024002,2048002
1503,100012,156,0.5,312,The Painter,,,1024008,
1601,100013,120,0.5,240,Nocturne Op.9 No.2,Chopin,,1024001,2048001
1602,100013,139,0.5,278,Nocturne Op.9 No.2,,,1024002,2048002
1603,100013,156,0.5,312,Nocturne Op.9 No.2,,,1024008,
1701,100140,200,1,200,The Blue Danube,Johann Strauss II,,,
1702,100140,250,1,250,The Blue Danube,,,,
